home_team,ground_name,lat_long
Middlesbrough,Riverside Stadium,"54.578259611601354, -1.2168727997500726"
Newcastle,St James' Park,"54.975549442301855, -1.6216348905453042"
Burton,Pirelli Stadium,"52.821951689674655, -1.6268888636813716"
Stevenage,Lamex Stadium,"51.88983370281285, -0.19365229829243283"
AFC Wimbledon,Plough Lane,"51.43152843133445, -0.1866802926399812"
Crawley Town,Broadfield Stadium,"51.0997000650247, -0.19474242139416584"
Fleetwood Town,Highbury Stadium,"53.916474941402825, -3.0247556257899415"
Newport County,Rodney Parade,"51.58825322009518, -2.987976516290118"
Aston Villa,Villa Park,"52.509118609226974, -1.8848220653252228"
Forest Green,The New Lawn,"51.698984434806526, -2.2379013384916995"
Salford,Peninsula Stadium,"53.51363663124984, -2.2767720729197434"
Barrow,Holker Street,"54.12328179909346, -3.2349381971405315"
Harrogate,The Exercise Stadium,"53.991723554601556, -1.5144861064109276"
Sutton,Gander Green Lane,"51.36761189024782, -0.20429399869807294"
Bromley,Hayes Lane Stadium,"51.390093622191294, 0.021090179573729783"
Chelsea,Stamford Bridge,"51.48172283141681, -0.19094712768778563"
Liverpool,Anfield,"53.43084025110176, -2.9608243787732795"
Tottenham,,"51.60421842990123, -0.06622362288363537"
Man United,Old Trafford,"53.46308346508267, -2.2913298143181278"
Arsenal,Arsenal Stadium,"51.55507893706069, -0.10840362319573983"
Everton,Goodison Park,"53.43884287045332, -2.9662836211766788"
